t_ms,tgt_L,tgt_R,meas_L,meas_R,duty_L_pct,duty_R_pct,raw_L,raw_R
206,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
413,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
619,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
825,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
1031,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
1238,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
1444,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
1650,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
1857,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
2063,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
2269,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
2475,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
2681,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
2888,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
3094,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
3300,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
3506,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
3713,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
3919,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
4125,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
4331,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
4537,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
4744,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
4950,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
5156,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
5363,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
5569,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
5775,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
5981,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
6188,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
6394,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
6600,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
6806,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
7013,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
7219,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
7425,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
7631,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
7838,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
8044,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
8250,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
8456,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
8662,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
8869,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
9075,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
9281,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
9487,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
9694,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
9900,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
10106,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
10312,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
10519,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
10725,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
10931,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
11137,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
11344,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
11550,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
11756,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
11963,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
12169,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
12375,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
12581,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
12787,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
12994,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
13200,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
13406,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
13612,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
13818,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
14025,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
14231,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
14437,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
14643,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
14850,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
15056,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
15262,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
15468,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
15675,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
15881,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
16087,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
16293,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
16500,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
16706,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
16912,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
17118,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
17324,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
17531,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
17737,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
17943,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
18149,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
18355,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
18561,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
18768,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
18974,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
19180,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
19386,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
19593,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
19799,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
20005,282.0,282.0,0.0,0.0,50.0,50.0,0.0,0.0
